"Year","State","Class","Variable","District","Category","Variable_Type","Used_in_ANESRake_Weighting","CES_Candidate","True_Candidate","Match_Score","Benchmark","CES_Unweighted","CES_Weighted","CES_ANESRake_Weighted","Error_Unweighted","Error_CES_Weighted","Error_ANESRake","n_respondents"
2010,"ARKANSAS","Candidate Choice","U.S. Senate","statewide","Republican","Secondary",FALSE,"John Boozman","John Boozman",0,57.902935674658984,65.07936507936508,61.43378172069108,70.48404787743723,7.1764294047060915,3.530846046032096,12.58111220277825,315
2010,"ARIZONA","Candidate Choice","U.S. Senate","statewide","Republican","Secondary",FALSE,"John Mccain","John Mccain",0,58.86007712100319,57.74783445620789,60.21514781509407,67.19605881018359,-1.1122426647952963,1.3550706940908839,8.3359816891804,1039
2010,"IDAHO","Candidate Choice","U.S. Senate","statewide","Republican","Secondary",FALSE,"Mike Crapo","Mike Crapo",0,71.17500500522769,70.96774193548387,73.28102079414435,79.79968463799251,-0.20726306974381714,2.1060157889166646,8.624679632764824,186
2010,"ILLINOIS","Candidate Choice","U.S. Senate","statewide","Republican","Secondary",FALSE,"Mark Steven Kirk","Mark Steven Kirk",0,48.01487283076432,46.462829736211035,49.14897273377498,50.60642560587423,-1.5520430945532837,1.1340999030106644,2.5915527751099106,1668
2010,"CALIFORNIA","Candidate Choice","U.S. Senate","statewide","Democrat","Secondary",FALSE,"Barbara Boxer","Barbara Boxer",0,52.183575062798994,51.00945566061845,53.80528115667504,48.2729991576298,-1.1741194021805441,1.6217060938760497,-3.910575905169196,3913
2010,"NEW YORK","Candidate Choice","U.S. Senate","statewide","Democrat","Secondary",FALSE,"Charles E. Schumer","Charles E. Schumer",0,66.30821206103963,56.82421667551779,62.20146502051013,47.13535364498475,-9.483995385521837,-4.106747040529498,-19.17285841605488,1883
2010,"FLORIDA","Candidate Choice","U.S. Senate","statewide","Republican","Secondary",FALSE,"Marco Rubio","Marco Rubio",0,48.89468068080721,53.22101090188305,49.4682190542015,56.13167359910312,4.326330221075835,0.5735383733942854,7.236992918295904,3027
2010,"KANSAS","Candidate Choice","U.S. Senate","statewide","Republican","Secondary",FALSE,"Jerry Moran","Jerry Moran",0,70.09437836340803,62.05128205128205,73.37273050564525,74.60586937515778,-8.043096312125975,3.2783521422372246,4.511491011749754,390
2010,"MARYLAND","Candidate Choice","U.S. Senate","statewide","Democrat","Secondary",FALSE,"Barbara A. Mikulski","Barbara Mikulski",0.052631578947368474,62.19298331713797,58.06451612903226,61.56330223277023,57.43303026984231,-4.128467188105709,-0.6296810843677392,-4.75995304729566,682
2010,"CONNECTICUT","Candidate Choice","U.S. Senate","statewide","Democrat","Secondary",FALSE,"Richard Blumenthal","Richard Blumenthal",0,55.15841871799431,51.61904761904762,53.81503747100813,42.4148193562576,-3.5393710989466882,-1.3433812469861763,-12.743599361736706,525
