cd_change_flag,cd_change_flag_post,caseid
NA,NA,1232318697
NA,NA,1231394915
NA,NA,1232451503
NA,NA,1232494791
NA,NA,1232494829
NA,NA,1232473675
NA,NA,1232514745
NA,NA,1232532211
NA,NA,1232856347
NA,NA,1232498693
NA,NA,1232535629
NA,NA,1232538041
NA,NA,1232535753
NA,NA,1232537249
NA,NA,1232537949
NA,NA,1232538845
NA,NA,1232540955
NA,NA,1232532347
NA,NA,1230759651
NA,NA,1232619383
NA,NA,1232655209
NA,NA,1232661323
NA,NA,1232610731
NA,NA,1232691553
NA,NA,1232693429
NA,NA,1232684417
NA,NA,1232683755
NA,NA,1231592995
NA,NA,1232693741
NA,NA,1232768575
NA,NA,1232801543
NA,NA,1232801635
NA,NA,1232703167
NA,NA,1232809773
NA,NA,1232846021
NA,NA,1232838079
NA,NA,1231066447
NA,NA,1232513665
NA,NA,1232849855
NA,NA,1232850853
NA,NA,1232856793
NA,NA,1232879971
NA,NA,1232703031
NA,NA,1232896711
NA,NA,1232900055
NA,NA,1232900369
NA,NA,1232917863
NA,NA,1232770917
NA,NA,1232924145
NA,NA,1232616169
NA,NA,1232888595
NA,NA,1232931761
NA,NA,1232938047
NA,NA,1232939297
NA,NA,1232771447
NA,NA,1232300469
NA,NA,1232300315
NA,NA,1231801969
NA,NA,1232309489
NA,NA,1232197081
NA,NA,1231658987
NA,NA,1231467131
NA,NA,1231312143
NA,NA,1232256263
NA,NA,1232306507
NA,NA,1232318609
NA,NA,1232300615
NA,NA,1232260693
NA,NA,1231598979
NA,NA,1231627721
NA,NA,1232300375
NA,NA,1232309223
NA,NA,1232132153
NA,NA,1232323145
NA,NA,1231784433
NA,NA,1231560637
NA,NA,1232309729
NA,NA,1232197557
1,1,1232258771
NA,NA,1232318269
NA,NA,1231875715
NA,NA,1232194511
NA,NA,1232318737
NA,NA,1232197149
NA,NA,1231921733
NA,NA,1231600923
NA,NA,1232029759
NA,NA,1231312587
NA,NA,1232096035
NA,NA,1232309981
NA,NA,1231354321
NA,NA,1232189387
NA,NA,1232133923
NA,NA,1231782479
NA,NA,1232309619
NA,NA,1232258159
NA,NA,1232257763
NA,NA,1231784667
NA,NA,1232256235
NA,NA,1231388409
NA,NA,1232256277
NA,NA,1232260239
NA,NA,1232309415
NA,NA,1232300617
NA,NA,1231948341
NA,NA,1231601411
NA,NA,1229704423
NA,NA,1231781501
NA,NA,1232094643
NA,NA,1231350939
NA,NA,1232309359
NA,NA,1231898551
NA,NA,1232091461
NA,NA,1230735815
NA,NA,1232197083
NA,NA,1232355107
NA,NA,1232359123
NA,NA,1232358227
NA,NA,1231308943
NA,NA,1232355145
NA,NA,1232309417
NA,NA,1231869589
NA,NA,1231899489
NA,NA,1232359215
NA,NA,1232354997
NA,NA,1232351461
NA,NA,1232359027
NA,NA,1231846439
NA,NA,1232361849
NA,NA,1232357445
NA,NA,1232359177
NA,NA,1232355257
NA,NA,1232358853
NA,NA,1231687871
NA,NA,1232359031
NA,NA,1232354743
NA,NA,1231829795
NA,NA,1232355215
NA,NA,1232359081
NA,NA,1232334661
NA,NA,1232133873
NA,NA,1232309741
NA,NA,1232358713
NA,NA,1232358893
NA,NA,1232358683
NA,NA,1232358845
NA,NA,1232358529
NA,NA,1232362947
NA,NA,1232359235
NA,NA,1232355213
NA,NA,1231996725
NA,NA,1232358767
NA,NA,1231899627
NA,NA,1232359191
NA,NA,1232354861
NA,NA,1232355141
NA,NA,1232357431
NA,NA,1232362901
NA,NA,1232358659
NA,NA,1232362891
NA,NA,1232362851
NA,NA,1231874957
NA,NA,1232358993
NA,NA,1232362923
NA,NA,1232197713
NA,NA,1232362955
NA,NA,1232131811
NA,NA,1232358697
NA,NA,1232355197
NA,NA,1232358499
NA,NA,1232359019
NA,NA,1232358563
NA,NA,1232439967
NA,NA,1232435381
NA,NA,1232445341
NA,NA,1231316571
NA,NA,1232440637
NA,NA,1232441627
NA,NA,1232441929
NA,NA,1232447505
NA,NA,1232441053
NA,NA,1232435395
NA,NA,1232441379
NA,NA,1232359209
NA,NA,1232452909
NA,NA,1232441877
NA,NA,1232440417
NA,NA,1232441257
NA,NA,1232447529
NA,NA,1232441741
NA,NA,1232447893
NA,NA,1232451529
NA,NA,1232441401
NA,NA,1232447383
NA,NA,1232451787
NA,NA,1232441939
NA,NA,1232447667
NA,NA,1232451545
NA,NA,1232442083
NA,NA,1232459687
NA,NA,1232448071
NA,NA,1232440899
NA,NA,1232448477
NA,NA,1232447747
NA,NA,1232482029
NA,NA,1231947453
NA,NA,1232448473
NA,NA,1232453977
1,1,1232467687
NA,NA,1232459683
NA,NA,1232470265
NA,NA,1232451849
NA,NA,1232447763
NA,NA,1232493847
NA,NA,1232482195
NA,NA,1232452077
NA,NA,1232493887
NA,NA,1232494183
NA,NA,1232481887
NA,NA,1232459675
NA,NA,1232132957
NA,NA,1232459615
NA,NA,1232459773
NA,NA,1232477827
NA,NA,1232447821
NA,NA,1232491725
NA,NA,1231252875
NA,NA,1232445323
NA,NA,1232447479
NA,NA,1226207965
NA,NA,1232447361
NA,NA,1232495147
NA,NA,1232459765
NA,NA,1232462449
NA,NA,1232494311
NA,NA,1232493901
NA,NA,1232494599
NA,NA,1232495703
NA,NA,1232494201
NA,NA,1232029785
NA,NA,1232494449
NA,NA,1232477797
NA,NA,1232359069
NA,NA,1232494795
NA,NA,1232494227
NA,NA,1232495317
NA,NA,1232495151
NA,NA,1232494371
NA,NA,1232495573
NA,NA,1232494203
NA,NA,1232495101
NA,NA,1232495221
NA,NA,1232482063
NA,NA,1232495223
NA,NA,1232477807
NA,NA,1232495695
NA,NA,1232495007
NA,NA,1232495025
NA,NA,1232494363
NA,NA,1232497979
NA,NA,1232496673
NA,NA,1232497155
NA,NA,1232496795
1,1,1232496683
NA,NA,1232497705
NA,NA,1232496667
NA,NA,1230372293
NA,NA,1232498197
NA,NA,1232495787
NA,NA,1232491537
NA,NA,1232497967
NA,NA,1232495293
NA,NA,1232494007
NA,NA,1232498889
NA,NA,1232498297
NA,NA,1232498165
NA,NA,1232495195
NA,NA,1232493969
NA,NA,1232497343
NA,NA,1232498529
NA,NA,1232469783
